Albania	http://unodc.publicdata.eu/r/country/Albania	Albania	administrative-area
Algeria	http://unodc.publicdata.eu/r/country/Algeria	Algeria	administrative-area
Argentina	http://unodc.publicdata.eu/r/country/Argentina	Argentina	administrative-area
Armenia	http://unodc.publicdata.eu/r/country/Armenia	Armenia	administrative-area
Australia	http://unodc.publicdata.eu/r/country/Australia	Australia	administrative-area
Austria	http://unodc.publicdata.eu/r/country/Austria	Austria	administrative-area
Azerbaijan	http://unodc.publicdata.eu/r/country/Azerbaijan	Azerbaijan	administrative-area
Bahamas	http://unodc.publicdata.eu/r/country/Bahamas	World/tmp/Bahamas	non-administrative-area
Bahrain	http://unodc.publicdata.eu/r/country/Bahrain	Bahrain	administrative-area
Bangladesh	http://unodc.publicdata.eu/r/country/Bangladesh	Bangladesh	administrative-area
Barbados	http://unodc.publicdata.eu/r/country/Barbados	Barbados	administrative-area
Belarus	http://unodc.publicdata.eu/r/country/Belarus	Belarus	administrative-area
Belize	http://unodc.publicdata.eu/r/country/Belize	Belize	administrative-area
Bermuda	http://unodc.publicdata.eu/r/country/Bermuda	Bermuda	administrative-area
Bolivia	http://unodc.publicdata.eu/r/country/Bolivia+%28Plurinational+State+of%29	World/tmp/Bolivia	non-administrative-area
Bosnia and Herzegovina	http://unodc.publicdata.eu/r/country/Bosnia+and+Herzegovina	World/tmp/BosniaandHerzegovina	non-administrative-area
Botswana	http://unodc.publicdata.eu/r/country/Botswana	Botswana	administrative-area
Brunei Darussalam	http://unodc.publicdata.eu/r/country/Brunei+Darussalam	World/tmp/BruneiDarussalam	non-administrative-area
Bulgaria	http://unodc.publicdata.eu/r/country/Bulgaria	Bulgaria	administrative-area
Burkina Faso	http://unodc.publicdata.eu/r/country/Burkina+Faso	World/tmp/BurkinaFaso	non-administrative-area
Cameroon	http://unodc.publicdata.eu/r/country/Cameroon	Cameroon	administrative-area
Canada	http://unodc.publicdata.eu/r/country/Canada	Canada	administrative-area
Cape Verde	http://unodc.publicdata.eu/r/country/Cape+Verde	World/tmp/CapeVerde	non-administrative-area
Chile	http://unodc.publicdata.eu/r/country/Chile	Chile	administrative-area
Colombia	http://unodc.publicdata.eu/r/country/Colombia	Colombia	administrative-area
Costa Rica	http://unodc.publicdata.eu/r/country/Costa+Rica	World/tmp/CostaRica	non-administrative-area
Cote d'Ivoire	http://unodc.publicdata.eu/r/country/Cote+d%27Ivoire	World/tmp/Coted'Ivoire	non-administrative-area
Croatia	http://unodc.publicdata.eu/r/country/Croatia	Croatia	administrative-area
Cyprus	http://unodc.publicdata.eu/r/country/Cyprus	Cyprus	administrative-area
Czech Republic	http://unodc.publicdata.eu/r/country/Czech+Republic	World/tmp/CzechRepublic	non-administrative-area
Denmark	http://unodc.publicdata.eu/r/country/Denmark	Denmark	administrative-area
Dominican Republic	http://unodc.publicdata.eu/r/country/Dominican+Republic	World/tmp/DominicanRepublic	non-administrative-area
Ecuador	http://unodc.publicdata.eu/r/country/Ecuador	Ecuador	administrative-area
Egypt	http://unodc.publicdata.eu/r/country/Egypt	World/tmp/Egypt	non-administrative-area
El Salvador	http://unodc.publicdata.eu/r/country/El+Salvador	World/tmp/ElSalvador	non-administrative-area
Estonia	http://unodc.publicdata.eu/r/country/Estonia	Estonia	administrative-area
Finland	http://unodc.publicdata.eu/r/country/Finland	Finland	administrative-area
France	http://unodc.publicdata.eu/r/country/France	France	administrative-area
Georgia	http://unodc.publicdata.eu/r/country/Georgia	Georgia	administrative-area
Germany	http://unodc.publicdata.eu/r/country/Germany	Germany	administrative-area
Greece	http://unodc.publicdata.eu/r/country/Greece	Greece	administrative-area
Guatemala	http://unodc.publicdata.eu/r/country/Guatemala	Guatemala	administrative-area
Guinea	http://unodc.publicdata.eu/r/country/Guinea	Guinea	administrative-area
Guyana	http://unodc.publicdata.eu/r/country/Guyana	Guyana	administrative-area
